Bullied_in_school,Bullied_outside_school,Cyber_bullied,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,Yes
No,Yes,No,15 years old,Female,2 or 3 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
Yes,No,Yes,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Rarely,2,0 days,Rarely,Most of the time,No,No,No,No,No
No,No,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
No,No,Yes,15 years old,Female,1 time,0 times,Most of the time,2,0 days,Sometimes,Always,Yes,No,No,No,No
No,Yes,Yes,15 years old,Female,1 time,0 times,Rarely,3 or more,1 or 2 days,Never,Rarely,No,Yes,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Always,No,No,No,No,No
No,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
No,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
Yes,No,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Always,Yes,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,Yes,No
No,No,No,15 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
No,Yes,Yes,15 years old,Male,0 times,0 times,Most of the time,3 or more,1 or 2 days,Sometimes,Most of the time,Yes,Yes,No,Yes,No
No,No,No,16 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,6 to 9 days,Most of the time,Most of the time,No,Yes,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No,No,No,No
